retro_id,city,nickname,season,games
CHN,Chicago,Cubs,2001,81
CHN,Chicago,Cubs,2002,81
CHN,Chicago,Cubs,2003,87
CHN,Chicago,Cubs,2004,82
CHN,Chicago,Cubs,2005,81
CHN,Chicago,Cubs,2006,81
CHN,Chicago,Cubs,2007,82
CHN,Chicago,Cubs,2008,83
CHN,Chicago,Cubs,2009,80
CHN,Chicago,Cubs,2010,81
CHN,Chicago,Cubs,2011,81
CHN,Chicago,Cubs,2012,81
CHN,Chicago,Cubs,2013,81
CHN,Chicago,Cubs,2014,81
CHN,Chicago,Cubs,2015,85
CHN,Chicago,Cubs,2016,89
CHN,Chicago,Cubs,2017,86
CHN,Chicago,Cubs,2018,83
CHN,Chicago,Cubs,2019,81
CHN,Chicago,Cubs,2020,35
CHN,Chicago,Cubs,2021,81
CHN,Chicago,Cubs,2022,81
CHN,Chicago,Cubs,2023,81
CHN,Chicago,Cubs,2024,81
CIN,Cincinnati,Reds,1990,86
CIN,Cincinnati,Reds,1991,81
CIN,Cincinnati,Reds,1992,81
CIN,Cincinnati,Reds,1993,81
CIN,Cincinnati,Reds,1994,60
CIN,Cincinnati,Reds,1995,75
CIN,Cincinnati,Reds,1996,81
CIN,Cincinnati,Reds,1997,81
CIN,Cincinnati,Reds,1998,81
CIN,Cincinnati,Reds,1999,82
CIN,Cincinnati,Reds,2000,82
CIN,Cincinnati,Reds,2001,81
CIN,Cincinnati,Reds,2002,81
CIN,Cincinnati,Reds,2003,81
CIN,Cincinnati,Reds,2004,81
CIN,Cincinnati,Reds,2005,82
CIN,Cincinnati,Reds,2006,81
CIN,Cincinnati,Reds,2007,81
CIN,Cincinnati,Reds,2008,81
CIN,Cincinnati,Reds,2009,81
CIN,Cincinnati,Reds,2010,82
CIN,Cincinnati,Reds,2011,81
CIN,Cincinnati,Reds,2012,84
CIN,Cincinnati,Reds,2013,80
CIN,Cincinnati,Reds,2014,81
CIN,Cincinnati,Reds,2015,81
CIN,Cincinnati,Reds,2016,81
CIN,Cincinnati,Reds,2017,81
CIN,Cincinnati,Reds,2018,81
CIN,Cincinnati,Reds,2019,81
CIN,Cincinnati,Reds,2020,29
CIN,Cincinnati,Reds,2021,81
CIN,Cincinnati,Reds,2022,81
CIN,Cincinnati,Reds,2023,81
CIN,Cincinnati,Reds,2024,81
CLE,Cleveland,Indians,1990,81
CLE,Cleveland,Indians,1991,82
CLE,Cleveland,Indians,1992,81
CLE,Cleveland,Indians,1993,81
CLE,Cleveland,Indians,1994,51
CLE,Cleveland,Indians,1995,80
CLE,Cleveland,Indians,1996,82
CLE,Cleveland,Indians,1997,90
CLE,Cleveland,Indians,1998,86
CLE,Cleveland,Indians,1999,84
CLE,Cleveland,Indians,2000,81
CLE,Cleveland,Indians,2001,82
CLE,Cleveland,Indians,2002,81
CLE,Cleveland,Indians,2003,81
CLE,Cleveland,Indians,2004,81
CLE,Cleveland,Indians,2005,81
CLE,Cleveland,Indians,2006,81
CLE,Cleveland,Indians,2007,85
CLE,Cleveland,Indians,2008,81
CLE,Cleveland,Indians,2009,81
CLE,Cleveland,Indians,2010,81
CLE,Cleveland,Indians,2011,81
CLE,Cleveland,Indians,2012,81
CLE,Cleveland,Indians,2013,82
CLE,Cleveland,Indians,2014,81
CLE,Cleveland,Indians,2015,80
CLE,Cleveland,Indians,2016,89
CLE,Cleveland,Indians,2017,84
CLE,Cleveland,Indians,2018,82
CLE,Cleveland,Indians,2019,81
CLE,Cleveland,Indians,2020,32
CLE,Cleveland,Indians,2021,81
CLE,Cleveland,Indians,2022,85
CLE,Cleveland,Indians,2023,81
CLE,Cleveland,Indians,2024,86
COL,Colorado,Rockies,1993,81
COL,Colorado,Rockies,1994,57
COL,Colorado,Rockies,1995,74
