Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Hunter Goodman","COL",130,541,495,124,65,33,2,24,68,87,34,1,149,8,4,0,,1,1,0.2505050505050505,0.06284658040665435,0.2754158964879852,0.22818791946308725,0.3068391866913124,0.4707070707070707,0.3304034980358901,0.7775462573983831,0.22020202020202018,3.1636544258510915,0.3067484662576687,,-1.0388211449608207,71.32228132377641,5.4045799825646075,93.28695940692677,-1.0388211449608207,,-5.53801800922229,-11.739006419100528,0.11087962832166265,,,,,,,,657.1999999999999,5.0553846153846145,657.1999999999999,5.0553846153846145,,,,,,,,,,,,,,,,,,,"Hunter Goodman","29715",696100
"Jose Iglesias","NYM",96,376,354,88,63,20,1,4,39,36,15,0,58,5,2,0,,2,2,0.24858757062146894,0.0398936170212766,0.15425531914893617,0.25862068965517243,0.2872340425531915,0.3446327683615819,0.27693843651325145,0.6318668109147734,0.09604519774011297,3.206560818188908,0.2857142857142857,,-1.083681341726333,32.87411787559548,-12.939293777446355,74.17074096234694,-1.083681341726333,,-13.11513909917986,1.4446207636037611,0.11068444748626255,,,,,,,,298.2999999999999,3.1072916666666655,298.2999999999999,3.1072916666666655,,,,,,,,,,,,,,,,,,,"Jose Iglesias","10231",578428
"Jackson Cluff","WSN",90,335,291,57,37,14,2,4,35,30,31,0,105,7,2,4,,7,3,0.1958762886597938,0.09253731343283582,0.31343283582089554,0.29523809523809524,0.28700906344410876,0.29896907216494845,0.2654853663055558,0.5859781356090572,0.10309278350515463,5.669761868797535,0.28804347826086957,,-0.4441183810122311,26.1029766762525,-14.714823599728925,63.255951679211186,-0.4441183810122311,,-15.693431023798121,5.392680823697825,0.10830618005246606,,,,,,,,236.7,2.63,236.7,2.63,,,,,,,,,,,,,,,,,,,"Jackson Cluff","sa3010342",687714
"Braiden Ward","COL",91,318,271,63,51,9,2,1,49,38,20,0,77,22,1,4,,25,5,0.23247232472324722,0.06289308176100629,0.24213836477987422,0.2597402597402597,0.3343949044585987,0.2915129151291513,0.29055798699142066,0.62590781958775,0.059040590405904064,8.015458854539965,0.31958762886597936,,2.1730333608575165,31.400041318011642,-7.346407899188636,66.575159364739,2.1730333608575165,,-10.994818230180828,1.268430336587118,0.10795922494338205,,,,,,,,288.19999999999993,3.1670329670329664,288.19999999999993,3.1670329670329664,,,,,,,,,,,,,,,,,,,"Braiden Ward","sa3017332",685274
"Matt Shaw","CHC",40,179,169,45,30,7,2,6,21,26,6,1,32,3,1,0,,8,2,0.26627218934911245,0.0335195530726257,0.1787709497206704,0.1875,0.3016759776536313,0.4378698224852071,0.3146194527658184,0.7395458001388384,0.17159763313609466,6.769808705527536,0.29545454545454547,,0.46304923947900534,21.251852703284545,-0.5582555038816519,97.94300472387155,0.46304923947900534,,0.006902281198721383,-5.02689594356261,0.10613326531841422,,,,,,,,207.69999999999996,5.192499999999999,207.69999999999996,5.192499999999999,,,,,,,,,,,,,,,,,,,"Matt Shaw","33322",807713
"Carlos Cortes","NYM",110,438,392,84,52,21,1,10,48,45,39,0,115,3,4,0,,1,1,0.21428571428571427,0.08904109589041095,0.2625570776255708,0.3391304347826087,0.2876712328767123,0.3494897959183674,0.28068253574850355,0.6371610287950797,0.1352040816326531,2.7495529777552212,0.2730627306273063,,-0.9463596614077687,39.65680794691655,-13.710942861680058,76.68072583864944,-0.9463596614077687,,-13.599770138096181,-0.2280424234097591,0.10571137576911754,,,,,,,,364.09999999999997,3.3099999999999996,364.09999999999997,3.3099999999999996,,,,,,,,,,,,,,,,,,,"Carlos Cortes","21842",666126
"Scott Kingery","PHI",107,406,360,73,47,15,3,8,45,39,34,0,139,3,3,6,,12,1,0.20277777777777778,0.08374384236453201,0.34236453201970446,0.2446043165467626,0.275,0.3277777777777778,0.2667843000590801,0.6027777777777779,0.125,6.846716532415347,0.30092592592592593,,1.3306916076689959,32.07323032144719,-17.395506729443728,62.5180871015858,1.3306916076689959,,-17.5216907142449,4.775308653896237,0.10508599770636606,,,,,,,,315.59999999999997,2.9495327102803737,315.59999999999997,2.9495327102803737,,,,,,,,,,,,,,,,,,,"Scott Kingery","17975",664068
"Jack Dunn","WSN",108,404,347,80,63,13,1,3,47,34,43,1,82,6,2,6,,13,4,0.23054755043227665,0.10643564356435643,0.20297029702970298,0.524390243902439,0.3241206030150754,0.29971181556195964,0.2844680160359111,0.623832418577035,0.06916426512968299,5.055626068363957,0.2916666666666667,,0.05641914298757911,37.84854504209114,-11.37650364894318,75.98161965476399,0.05641914298757911,,-11.964662336985493,-0.7155791188183425,0.10490244068355835,,,,,,,,333.09999999999997,3.084259259259259,333.09999999999997,3.084259259259259,,,,,,,,,,,,,,,,,,,"Jack Dunn","sa3010029",686639
"Tristan Peters","TBR",105,458,416,97,67,20,5,5,53,45,34,0,94,5,3,0,,9,4,0.23317307692307693,0.07423580786026202,0.2052401746724891,0.3617021276595745,0.29694323144104806,0.34134615384615385,0.2820102865258679,0.6382893852872019,0.10817307692307693,5.864670990896139,0.2875,,-0.7050552507862449,41.97265932486072,-13.831975082301947,80.25564151431645,-0.7050552507862449,,-11.540358835266384,-3.0485008818342143,0.10381818309264268,,,,,,,,383.59999999999997,3.653333333333333,383.59999999999997,3.653333333333333,,,,,,,,,,,,,,,,,,,"Tristan Peters","30063",671976
"Elio Prado","BAL",103,431,389,86,64,12,3,7,46,45,28,0,98,11,2,1,,5,5,0.2210796915167095,0.06496519721577726,0.2273781902552204,0.2857142857142857,0.29069767441860467,0.3213367609254499,0.27352110854415007,0.6120344353440546,0.10025706940874038,4.711006007642828,0.2762237762237762,,-1.9040179350413382,36.45960750578531,-16.05523404331318,72.00844303281512,-1.9040179350413382,,-16.359643959360188,2.6836273019135803,0.10296309209859766,,,,,,,,322.79999999999995,3.1339805825242713,322.79999999999995,3.1339805825242713,,,,,,,,,,,,,,,,,,,"Elio Prado","sa3008807",682799
