Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mike Adams",,2,2,,3.433524118807071,51,0,,,,57.66669845581055,,50,24,22,5,21,,,54,8.427741018890083,3.2774548406794772,2.5714285714285716,0.7803463906379707,,,,,1.2312131941176871,,0.734375,,,,-0.04167899751656834,,,,,,,,,280.23356857299814,4.85953897270083,268.33349227905273,4.6531793819386795,,,,,,,,,,,,,,,,,,,"Mike Adams","1937",430606
"Ron Mahay",,2,2,,4.344827586206897,55,0,,,,58,,61,30,28,8,27,,,44,6.827586206896552,4.189655172413793,1.6296296296296295,1.2413793103448276,,,,,1.5172413793103448,,0.7552083333333334,,,,-0.04191989346873015,,,,,,,,,179.20000000000007,3.0896551724137944,193,3.3275862068965516,,,,,,,,,,,,,,,,,,,"Ron Mahay","290",118158
"Michael Kohn",,4,3,,4.5,53,0,,,,58,,53,31,29,6,39,,,60,9.310344827586206,6.051724137931035,1.5384615384615385,0.9310344827586207,,,,,1.5862068965517242,,0.729665071770335,,,,-0.04191989346873015,,,,,,,,,220.60000000000002,3.8034482758620696,215,3.706896551724138,,,,,,,,,,,,,,,,,,,"Michael Kohn","8505",543409
"Randor Bierd",,2,2,,5.120689655172414,34,5,,,,58,,66,36,33,7,24,,,40,6.206896551724138,3.7241379310344827,1.6666666666666667,1.0862068965517242,,,,,1.5517241379310345,,0.6733167082294265,,,,-0.04191989346873015,,,,,,,,,179.50000000000003,3.0948275862068972,207,3.5689655172413794,,,,,,,,,,,,,,,,,,,"Randor Bierd","5555",457452
"Beau Vaughan",,4,3,,4.9655172413793105,47,0,,,,58,,61,35,32,6,30,,,40,6.206896551724138,4.655172413793103,1.3333333333333333,0.9310344827586207,,,,,1.5689655172413792,,0.6779661016949153,,,,-0.04191989346873015,,,,,,,,,186.80000000000004,3.2206896551724147,202,3.4827586206896552,,,,,,,,,,,,,,,,,,,"Beau Vaughan","sa226255",459409
"Tim Byrdak",,2,1,,4.189655172413793,65,0,,,,58,,50,29,27,8,30,,,57,8.844827586206897,4.655172413793103,1.9,1.2413793103448276,,,,,1.3793103448275863,,0.7412790697674418,,,,-0.04191989346873015,,,,,,,,,224.80000000000007,3.8758620689655183,210,3.6206896551724137,,,,,,,,,,,,,,,,,,,"Tim Byrdak","1995",136263
"Eddie Kunz",,3,5,,5.431034482758621,48,0,,,,58,,64,38,35,7,33,,,36,5.586206896551724,5.120689655172414,1.0909090909090908,1.0862068965517242,,,,,1.6724137931034482,,0.676605504587156,,,,-0.04191989346873015,,,,,,,,,149.70000000000002,2.581034482758621,172,2.9655172413793105,,,,,,,,,,,,,,,,,,,"Eddie Kunz","2862",446333
"John Gaub",,2,2,,4.474288152579255,47,0,,,,58.33330154418945,,52,31,29,7,38,,,62,9.565719498617716,5.862860337862472,1.631578947368421,1.0800005885536132,,,,,1.5428579836480187,,0.7356608478802992,,,,-0.042160789420891964,,,,,,,,,220.3664314270019,3.7777123117241507,210.66650772094727,3.6114278147167833,,,,,,,,,,,,,,,,,,,"John Gaub","2857",453304
"Scott Patterson",,2,3,,5.091431346038462,51,1,,,,58.33330154418945,,59,36,33,7,36,,,48,7.4057183215104905,5.554288741132868,1.3333333333333333,1.0800005885536132,,,,,1.6285723160729086,,0.6924882629107981,,,,-0.042160789420891964,,,,,,,,,180.16643142700192,3.088569079028036,188.66650772094727,3.2342847520472673,,,,,,,,,,,,,,,,,,,"Scott Patterson","5",456499
"Jon Switzer",,2,3,,5.062497256833176,48,0,,,,58.66669845581055,,64,36,33,8,22,,,46,7.056814358009881,3.374998171222117,2.090909090909091,1.2272720622625881,,,,,1.4659082965914245,,0.6684491978609626,,,,-0.04240175430051196,,,,,,,,,195.33356857299802,3.3295476601624157,215.33349227905273,3.6704552658821963,,,,,,,,,,,,,,,,,,,"Jon Switzer","1786",408304
"Wilfredo Ledezma",,2,3,,5.062497256833176,39,2,,,,58.66669845581055,,61,36,33,6,37,,,51,7.823859396923999,5.67613328796447,1.3783783783783783,0.9204540466969411,,,,,1.670453640301856,,0.6919642857142858,,,,-0.04240175430051196,,,,,,,,,192.733568572998,3.2852295023584888,206.33349227905273,3.5170462580993727,,,,,,,,,,,,,,,,,,,"Wilfredo Ledezma","1669",425656
"George Sherrill",,3,1,,2.761362140090823,66,0,,,,58.66669845581055,,44,19,18,5,24,,,67,10.278403521449174,3.6818161867877643,2.7916666666666665,0.7670450389141176,,,,,1.1590902810257777,,0.8032786885245902,,,,-0.04240175430051196,,,,,,,,,320.233568572998,5.458523779281822,290.33349227905273,4.948863664072392,,,,,,,,,,,,,,,,,,,"George Sherrill","6291",430941
"Scott Munter",,3,5,,5.215906264615999,51,0,,,,58.66669845581055,,69,37,34,6,27,,,25,3.8352251945705875,4.142043210136235,0.9259259259259259,0.9204540466969411,,,,,1.6363627496834507,,0.6735159817351598,,,,-0.04240175430051196,,,,,,,,,149.93356857299804,2.5556844431246177,184.33349227905273,3.1420464612969154,,,,,,,,,,,,,,,,,,,"Scott Munter","3470",434639
"Zech Zinicola",,3,4,,5.369315272398823,46,0,,,,58.66669845581055,,65,38,35,7,35,,,40,6.136360311312941,5.369315272398823,1.1428571428571428,1.0738630544797645,,,,,1.7045445309202611,,0.6873614190687362,,,,-0.04240175430051196,,,,,,,,,154.03356857299798,2.6255707688923473,177.33349227905273,3.022728344132497,,,,,,,,,,,,,,,,,,,"Zech Zinicola","sa326785",453216
"Gabe DeHoyos",,4,4,,3.988634202353411,41,0,,,,58.66669845581055,,57,28,26,4,28,,,45,6.903405350227057,4.295452217919058,1.6071428571428572,0.6136360311312941,,,,,1.448862851282222,,0.7178841309823677,,,,-0.04240175430051196,,,,,,,,,242.733568572998,4.137501767818619,247.33349227905273,4.21590951577668,,,,,,,,,,,,,,,,,,,"Gabe DeHoyos","sa262554",452318
"Jay Marshall",,3,6,,5.369315272398823,60,0,,,,58.66669845581055,,70,38,35,6,25,,,28,4.295452217919058,3.8352251945705875,1.12,0.9204540466969411,,,,,1.6193173043742481,,0.6581986143187067,,,,-0.04240175430051196,,,,,,,,,159.33356857299805,2.715911629031122,196.33349227905273,3.3465918050073467,,,,,,,,,,,,,,,,,,,"Jay Marshall","5546",457444
"Willie Eyre",,2,2,,4.9090882490503525,38,2,,,,58.66669845581055,,63,35,32,7,26,,,31,4.755679241267528,3.988634202353411,1.1923076923076923,1.0738630544797645,,,,,1.5170446325190325,,0.6818181818181818,,,,-0.04240175430051196,,,,,,,,,168.23356857299802,2.867616092283025,186.33349227905273,3.1761373519153207,,,,,,,,,,,,,,,,,,,"Willie Eyre","2078",425466
"Jorge Julio",,2,3,,4.755679241267528,55,0,,,,58.66669845581055,,59,34,31,6,35,,,52,7.977268404706822,5.369315272398823,1.4857142857142858,0.9204540466969411,,,,,1.6022718590650455,,0.7009345794392524,,,,-0.04240175430051196,,,,,,,,,205.93356857299798,3.510229380439963,214.33349227905273,3.6534098205729935,,,,,,,,,,,,,,,,,,,"Jorge Julio","148",406402
"Casey Janssen",,2,3,,4.728813559322034,42,4,,,,59,,66,34,31,6,21,,,36,5.491525423728813,3.2033898305084745,1.7142857142857142,0.9152542372881356,,,,,1.4745762711864407,,0.6743002544529263,,,,-0.042642650252673775,,,,,,,,,200.20000000000002,3.3932203389830513,226,3.830508474576271,,,,,,,,,,,,,,,,,,,"Casey Janssen","7355",445163
"Jean Machi",,2,5,,5.6440677966101696,38,3,,,,59,,69,40,37,7,33,,,35,5.338983050847458,5.033898305084746,1.0606060606060606,1.0677966101694916,,,,,1.728813559322034,,0.6724511930585683,,,,-0.042642650252673775,,,,,,,,,142.1,2.4084745762711863,175,2.9661016949152543,,,,,,,,,,,,,,,,,,,"Jean Machi","3220",466948
"Bobby Cassevah",,2,5,,5.796610169491525,46,0,,,,59,,67,41,38,6,42,,,31,4.728813559322034,6.406779661016949,0.7380952380952381,0.9152542372881356,,,,,1.847457627118644,,0.6759443339960239,,,,-0.042642650252673775,,,,,,,,,124.6,2.111864406779661,153,2.593220338983051,,,,,,,,,,,,,,,,,,,"Bobby Cassevah","6950",445001
"Frank Francisco",,3,1,,3.6610169491525424,59,0,,,,59,,50,26,24,7,25,,,61,9.305084745762711,3.8135593220338984,2.44,1.0677966101694916,,,,,1.271186440677966,,0.7515337423312883,,,,-0.042642650252673775,,,,,,,,,267.5,4.533898305084746,251,4.254237288135593,,,,,,,,,,,,,,,,,,,"Frank Francisco","1933",407911
"Chris Gissell",,3,4,,4.88135593220339,14,10,,,,59,,64,35,32,9,16,,,42,6.406779661016949,2.440677966101695,2.625,1.3728813559322033,,,,,1.3559322033898304,,0.6676557863501483,,,,-0.042642650252673775,,,,,,,,,195.50000000000003,3.313559322033899,214,3.6271186440677967,,,,,,,,,,,,,,,,,,,"Chris Gissell","2015",277414
"Roque Mercedes",,2,2,,5.005620659399922,49,0,,,,59.33330154418945,,61,36,33,8,32,,,48,7.280902777308977,4.853935184872651,1.5,1.2134837962181628,,,,,1.567416570115127,,0.6968215158924206,,,,-0.04288354620483559,,,,,,,,,182.06643142700207,3.0685370051657266,192.66650772094727,3.2471900721293205,,,,,,,,,,,,,,,,,,,"Roque Mercedes","sa295235",444474
