retro_id,city,nickname,season,vegas_name
BOS,Boston,Red Sox,2022,Boston Red Sox
BOS,Boston,Red Sox,2023,Boston Red Sox
BOS,Boston,Red Sox,2024,Boston Red Sox
CAL,California,Angels,1990,Los Angeles Angels
CAL,California,Angels,1991,Los Angeles Angels
CAL,California,Angels,1992,Los Angeles Angels
CAL,California,Angels,1993,Los Angeles Angels
CAL,California,Angels,1994,Los Angeles Angels
CAL,California,Angels,1995,Los Angeles Angels
CAL,California,Angels,1996,Los Angeles Angels
CHA,Chicago,White Sox,1990,Chicago White Sox
CHA,Chicago,White Sox,1991,Chicago White Sox
CHA,Chicago,White Sox,1992,Chicago White Sox
CHA,Chicago,White Sox,1993,Chicago White Sox
CHA,Chicago,White Sox,1994,Chicago White Sox
CHA,Chicago,White Sox,1995,Chicago White Sox
CHA,Chicago,White Sox,1996,Chicago White Sox
CHA,Chicago,White Sox,1997,Chicago White Sox
CHA,Chicago,White Sox,1998,Chicago White Sox
CHA,Chicago,White Sox,1999,Chicago White Sox
CHA,Chicago,White Sox,2000,Chicago White Sox
CHA,Chicago,White Sox,2001,Chicago White Sox
CHA,Chicago,White Sox,2002,Chicago White Sox
CHA,Chicago,White Sox,2003,Chicago White Sox
CHA,Chicago,White Sox,2004,Chicago White Sox
CHA,Chicago,White Sox,2005,Chicago White Sox
CHA,Chicago,White Sox,2006,Chicago White Sox
CHA,Chicago,White Sox,2007,Chicago White Sox
CHA,Chicago,White Sox,2008,Chicago White Sox
CHA,Chicago,White Sox,2009,Chicago White Sox
CHA,Chicago,White Sox,2010,Chicago White Sox
CHA,Chicago,White Sox,2011,Chicago White Sox
CHA,Chicago,White Sox,2012,Chicago White Sox
CHA,Chicago,White Sox,2013,Chicago White Sox
CHA,Chicago,White Sox,2014,Chicago White Sox
CHA,Chicago,White Sox,2015,Chicago White Sox
CHA,Chicago,White Sox,2016,Chicago White Sox
CHA,Chicago,White Sox,2017,Chicago White Sox
CHA,Chicago,White Sox,2018,Chicago White Sox
CHA,Chicago,White Sox,2019,Chicago White Sox
CHA,Chicago,White Sox,2020,Chicago White Sox
CHA,Chicago,White Sox,2021,Chicago White Sox
CHA,Chicago,White Sox,2022,Chicago White Sox
CHA,Chicago,White Sox,2023,Chicago White Sox
CHA,Chicago,White Sox,2024,Chicago White Sox
CHN,Chicago,Cubs,1990,Chicago Cubs
CHN,Chicago,Cubs,1991,Chicago Cubs
CHN,Chicago,Cubs,1992,Chicago Cubs
CHN,Chicago,Cubs,1993,Chicago Cubs
CHN,Chicago,Cubs,1994,Chicago Cubs
CHN,Chicago,Cubs,1995,Chicago Cubs
CHN,Chicago,Cubs,1996,Chicago Cubs
CHN,Chicago,Cubs,1997,Chicago Cubs
CHN,Chicago,Cubs,1998,Chicago Cubs
CHN,Chicago,Cubs,1999,Chicago Cubs
CHN,Chicago,Cubs,2000,Chicago Cubs
CHN,Chicago,Cubs,2001,Chicago Cubs
CHN,Chicago,Cubs,2002,Chicago Cubs
CHN,Chicago,Cubs,2003,Chicago Cubs
CHN,Chicago,Cubs,2004,Chicago Cubs
CHN,Chicago,Cubs,2005,Chicago Cubs
CHN,Chicago,Cubs,2006,Chicago Cubs
CHN,Chicago,Cubs,2007,Chicago Cubs
CHN,Chicago,Cubs,2008,Chicago Cubs
CHN,Chicago,Cubs,2009,Chicago Cubs
CHN,Chicago,Cubs,2010,Chicago Cubs
CHN,Chicago,Cubs,2011,Chicago Cubs
CHN,Chicago,Cubs,2012,Chicago Cubs
CHN,Chicago,Cubs,2013,Chicago Cubs
CHN,Chicago,Cubs,2014,Chicago Cubs
CHN,Chicago,Cubs,2015,Chicago Cubs
CHN,Chicago,Cubs,2016,Chicago Cubs
CHN,Chicago,Cubs,2017,Chicago Cubs
CHN,Chicago,Cubs,2018,Chicago Cubs
CHN,Chicago,Cubs,2019,Chicago Cubs
CHN,Chicago,Cubs,2020,Chicago Cubs
CHN,Chicago,Cubs,2021,Chicago Cubs
CHN,Chicago,Cubs,2022,Chicago Cubs
CHN,Chicago,Cubs,2023,Chicago Cubs
CHN,Chicago,Cubs,2024,Chicago Cubs
CIN,Cincinnati,Reds,1990,Cincinnati Reds
CIN,Cincinnati,Reds,1991,Cincinnati Reds
CIN,Cincinnati,Reds,1992,Cincinnati Reds
CIN,Cincinnati,Reds,1993,Cincinnati Reds
CIN,Cincinnati,Reds,1994,Cincinnati Reds
CIN,Cincinnati,Reds,1995,Cincinnati Reds
CIN,Cincinnati,Reds,1996,Cincinnati Reds
CIN,Cincinnati,Reds,1997,Cincinnati Reds
CIN,Cincinnati,Reds,1998,Cincinnati Reds
CIN,Cincinnati,Reds,1999,Cincinnati Reds
CIN,Cincinnati,Reds,2000,Cincinnati Reds
CIN,Cincinnati,Reds,2001,Cincinnati Reds
CIN,Cincinnati,Reds,2002,Cincinnati Reds
CIN,Cincinnati,Reds,2003,Cincinnati Reds
CIN,Cincinnati,Reds,2004,Cincinnati Reds
CIN,Cincinnati,Reds,2005,Cincinnati Reds
CIN,Cincinnati,Reds,2006,Cincinnati Reds
CIN,Cincinnati,Reds,2007,Cincinnati Reds
CIN,Cincinnati,Reds,2008,Cincinnati Reds
CIN,Cincinnati,Reds,2009,Cincinnati Reds
CIN,Cincinnati,Reds,2010,Cincinnati Reds
CIN,Cincinnati,Reds,2011,Cincinnati Reds
CIN,Cincinnati,Reds,2012,Cincinnati Reds
CIN,Cincinnati,Reds,2013,Cincinnati Reds
CIN,Cincinnati,Reds,2014,Cincinnati Reds
CIN,Cincinnati,Reds,2015,Cincinnati Reds
CIN,Cincinnati,Reds,2016,Cincinnati Reds
CIN,Cincinnati,Reds,2017,Cincinnati Reds
CIN,Cincinnati,Reds,2018,Cincinnati Reds
CIN,Cincinnati,Reds,2019,Cincinnati Reds
CIN,Cincinnati,Reds,2020,Cincinnati Reds
CIN,Cincinnati,Reds,2021,Cincinnati Reds
CIN,Cincinnati,Reds,2022,Cincinnati Reds
CIN,Cincinnati,Reds,2023,Cincinnati Reds
CIN,Cincinnati,Reds,2024,Cincinnati Reds
CLE,Cleveland,Indians,1990,Cleveland Guardians
CLE,Cleveland,Indians,1991,Cleveland Guardians
CLE,Cleveland,Indians,1992,Cleveland Guardians
CLE,Cleveland,Indians,1993,Cleveland Guardians
CLE,Cleveland,Indians,1994,Cleveland Guardians
CLE,Cleveland,Indians,1995,Cleveland Guardians
CLE,Cleveland,Indians,1996,Cleveland Guardians
CLE,Cleveland,Indians,1997,Cleveland Guardians
CLE,Cleveland,Indians,1998,Cleveland Guardians
CLE,Cleveland,Indians,1999,Cleveland Guardians
CLE,Cleveland,Indians,2000,Cleveland Guardians
CLE,Cleveland,Indians,2001,Cleveland Guardians
CLE,Cleveland,Indians,2002,Cleveland Guardians
CLE,Cleveland,Indians,2003,Cleveland Guardians
CLE,Cleveland,Indians,2004,Cleveland Guardians
CLE,Cleveland,Indians,2005,Cleveland Guardians
CLE,Cleveland,Indians,2006,Cleveland Guardians
CLE,Cleveland,Indians,2007,Cleveland Guardians
CLE,Cleveland,Indians,2008,Cleveland Guardians
CLE,Cleveland,Indians,2009,Cleveland Guardians
CLE,Cleveland,Indians,2010,Cleveland Guardians
CLE,Cleveland,Indians,2011,Cleveland Guardians
CLE,Cleveland,Indians,2012,Cleveland Guardians
CLE,Cleveland,Indians,2013,Cleveland Guardians
CLE,Cleveland,Indians,2014,Cleveland Guardians
CLE,Cleveland,Indians,2015,Cleveland Guardians
CLE,Cleveland,Indians,2016,Cleveland Guardians
CLE,Cleveland,Indians,2017,Cleveland Guardians
CLE,Cleveland,Indians,2018,Cleveland Guardians
CLE,Cleveland,Indians,2019,Cleveland Guardians
CLE,Cleveland,Indians,2020,Cleveland Guardians
CLE,Cleveland,Indians,2021,Cleveland Guardians
CLE,Cleveland,Indians,2022,Cleveland Guardians
CLE,Cleveland,Indians,2023,Cleveland Guardians
CLE,Cleveland,Indians,2024,Cleveland Guardians
COL,Colorado,Rockies,1993,Colorado Rockies
COL,Colorado,Rockies,1994,Colorado Rockies
COL,Colorado,Rockies,1995,Colorado Rockies
COL,Colorado,Rockies,1996,Colorado Rockies
COL,Colorado,Rockies,1997,Colorado Rockies
COL,Colorado,Rockies,1998,Colorado Rockies
COL,Colorado,Rockies,1999,Colorado Rockies
COL,Colorado,Rockies,2000,Colorado Rockies
COL,Colorado,Rockies,2001,Colorado Rockies
COL,Colorado,Rockies,2002,Colorado Rockies
COL,Colorado,Rockies,2003,Colorado Rockies
COL,Colorado,Rockies,2004,Colorado Rockies
COL,Colorado,Rockies,2005,Colorado Rockies
COL,Colorado,Rockies,2006,Colorado Rockies
COL,Colorado,Rockies,2007,Colorado Rockies
COL,Colorado,Rockies,2008,Colorado Rockies
COL,Colorado,Rockies,2009,Colorado Rockies
COL,Colorado,Rockies,2010,Colorado Rockies
COL,Colorado,Rockies,2011,Colorado Rockies
COL,Colorado,Rockies,2012,Colorado Rockies
COL,Colorado,Rockies,2013,Colorado Rockies
COL,Colorado,Rockies,2014,Colorado Rockies
COL,Colorado,Rockies,2015,Colorado Rockies
COL,Colorado,Rockies,2016,Colorado Rockies
COL,Colorado,Rockies,2017,Colorado Rockies
COL,Colorado,Rockies,2018,Colorado Rockies
COL,Colorado,Rockies,2019,Colorado Rockies
COL,Colorado,Rockies,2020,Colorado Rockies
COL,Colorado,Rockies,2021,Colorado Rockies
COL,Colorado,Rockies,2022,Colorado Rockies
COL,Colorado,Rockies,2023,Colorado Rockies
COL,Colorado,Rockies,2024,Colorado Rockies
DET,Detroit,Tigers,1990,Detroit Tigers
DET,Detroit,Tigers,1991,Detroit Tigers
DET,Detroit,Tigers,1992,Detroit Tigers
DET,Detroit,Tigers,1993,Detroit Tigers
DET,Detroit,Tigers,1994,Detroit Tigers
DET,Detroit,Tigers,1995,Detroit Tigers
DET,Detroit,Tigers,1996,Detroit Tigers
DET,Detroit,Tigers,1997,Detroit Tigers
DET,Detroit,Tigers,1998,Detroit Tigers
DET,Detroit,Tigers,1999,Detroit Tigers
DET,Detroit,Tigers,2000,Detroit Tigers
DET,Detroit,Tigers,2001,Detroit Tigers
DET,Detroit,Tigers,2002,Detroit Tigers
DET,Detroit,Tigers,2003,Detroit Tigers
DET,Detroit,Tigers,2004,Detroit Tigers
DET,Detroit,Tigers,2005,Detroit Tigers
DET,Detroit,Tigers,2006,Detroit Tigers
DET,Detroit,Tigers,2007,Detroit Tigers
DET,Detroit,Tigers,2008,Detroit Tigers
DET,Detroit,Tigers,2009,Detroit Tigers
DET,Detroit,Tigers,2010,Detroit Tigers
DET,Detroit,Tigers,2011,Detroit Tigers
DET,Detroit,Tigers,2012,Detroit Tigers
DET,Detroit,Tigers,2013,Detroit Tigers
DET,Detroit,Tigers,2014,Detroit Tigers
DET,Detroit,Tigers,2015,Detroit Tigers
DET,Detroit,Tigers,2016,Detroit Tigers
DET,Detroit,Tigers,2017,Detroit Tigers
DET,Detroit,Tigers,2018,Detroit Tigers
DET,Detroit,Tigers,2019,Detroit Tigers
DET,Detroit,Tigers,2020,Detroit Tigers
DET,Detroit,Tigers,2021,Detroit Tigers
DET,Detroit,Tigers,2022,Detroit Tigers
DET,Detroit,Tigers,2023,Detroit Tigers
DET,Detroit,Tigers,2024,Detroit Tigers
FLO,Florida,Marlins,1993,Miami Marlins
FLO,Florida,Marlins,1994,Miami Marlins
FLO,Florida,Marlins,1995,Miami Marlins
FLO,Florida,Marlins,1996,Miami Marlins
FLO,Florida,Marlins,1997,Miami Marlins
FLO,Florida,Marlins,1998,Miami Marlins
FLO,Florida,Marlins,1999,Miami Marlins
FLO,Florida,Marlins,2000,Miami Marlins
FLO,Florida,Marlins,2001,Miami Marlins
FLO,Florida,Marlins,2002,Miami Marlins
FLO,Florida,Marlins,2003,Miami Marlins
FLO,Florida,Marlins,2004,Miami Marlins
FLO,Florida,Marlins,2005,Miami Marlins
FLO,Florida,Marlins,2006,Miami Marlins
FLO,Florida,Marlins,2007,Miami Marlins
FLO,Florida,Marlins,2008,Miami Marlins
FLO,Florida,Marlins,2009,Miami Marlins
FLO,Florida,Marlins,2010,Miami Marlins
FLO,Florida,Marlins,2011,Miami Marlins
HOU,Houston,Astros,1990,Houston Astros
HOU,Houston,Astros,1991,Houston Astros
HOU,Houston,Astros,1992,Houston Astros
HOU,Houston,Astros,1993,Houston Astros
HOU,Houston,Astros,1994,Houston Astros
HOU,Houston,Astros,1995,Houston Astros
HOU,Houston,Astros,1996,Houston Astros
HOU,Houston,Astros,1997,Houston Astros
HOU,Houston,Astros,1998,Houston Astros
HOU,Houston,Astros,1999,Houston Astros
HOU,Houston,Astros,2000,Houston Astros
HOU,Houston,Astros,2001,Houston Astros
HOU,Houston,Astros,2002,Houston Astros
HOU,Houston,Astros,2003,Houston Astros
HOU,Houston,Astros,2004,Houston Astros
HOU,Houston,Astros,2005,Houston Astros
HOU,Houston,Astros,2006,Houston Astros
HOU,Houston,Astros,2007,Houston Astros
HOU,Houston,Astros,2008,Houston Astros
HOU,Houston,Astros,2009,Houston Astros
HOU,Houston,Astros,2010,Houston Astros
HOU,Houston,Astros,2011,Houston Astros
HOU,Houston,Astros,2012,Houston Astros
HOU,Houston,Astros,2013,Houston Astros
HOU,Houston,Astros,2014,Houston Astros
HOU,Houston,Astros,2015,Houston Astros
HOU,Houston,Astros,2016,Houston Astros
HOU,Houston,Astros,2017,Houston Astros
HOU,Houston,Astros,2018,Houston Astros
HOU,Houston,Astros,2019,Houston Astros
HOU,Houston,Astros,2020,Houston Astros
HOU,Houston,Astros,2021,Houston Astros
HOU,Houston,Astros,2022,Houston Astros
HOU,Houston,Astros,2023,Houston Astros
HOU,Houston,Astros,2024,Houston Astros
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
